original_id,original_acronym,original_name,target_id,target_acronym
209,LAV,Lateral vestibular nucleus,1065,HB
210,LM,Lateral mammillary nucleus,1129,IB
211,ACAd2/3,Anterior cingulate area dorsal part layer 2/3,315,Isocortex
212,MOBgl,Main olfactory bulb glomerular layer,698,OLF
214,RN,Red nucleus,313,MB
215,APN,Anterior pretectal nucleus,313,MB
216,COApl1,Cortical amygdalar area posterior part lateral zone layer 1,698,OLF
217,SUV,Superior vestibular nucleus,1065,HB
218,LP,Lateral posterior nucleus of the thalamus,1129,IB
219,MO2/3,Somatomotor areas Layer 2/3,315,Isocortex
220,MOBgr,Main olfactory bulb granule layer,698,OLF
222,RO,Nucleus raphe obscurus,1065,HB
223,ARH,Arcuate hypothalamic nucleus,1129,IB
224,COApl2,Cortical amygdalar area posterior part lateral zone layer 2,698,OLF
225,SPIV,Spinal vestibular nucleus,1065,HB
