original_id,original_acronym,original_name,target_id,target_acronym
1142,TR3,Postpiriform transition area layers 3,698,OLF
1143,CBXgr,Cerebellar cortex granular layer,528,CBX
1144,CBXmo,Cerebellar cortex molecular layer,528,CBX
1145,CBXpu,Cerebellar cortex Purkinje layer,528,CBX
10671,ME,Median eminence,1129,IB
10672,SIMgr,Simple lobule granular layer,528,CBX
10673,SIMpu,Simple lobule Purkinje layer,528,CBX
10674,SIMmo,Simple lobule molecular layer,528,CBX
10675,ANcr1gr,Crus 1 granular layer,528,CBX
10676,ANcr1pu,Crus 1 Purkinje layer,528,CBX
10677,ANcr1mo,Crus 1 molecular layer,528,CBX
10678,ANcr2gr,Crus 2 granular layer,528,CBX
10679,ANcr2pu,Crus 2 Purkinje layer,528,CBX
10680,ANcr2mo,Crus 2 molecular layer,528,CBX
10681,PRMgr,Paramedian lobule granular layer,528,CBX
10682,PRMpu,Paramedian lobule Purkinje layer,528,CBX
10683,PRMmo,Paramedian lobule molecular layer,528,CBX
10684,COPYgr,Copula pyramidis granular layer,528,CBX
10685,COPYpu,Copula pyramidis Purkinje layer,528,CBX
10686,COPYmo,Copula pyramidis molecular layer,528,CBX
10687,PFLgr,Paraflocculus granular layer,528,CBX
10688,PFLpu,Paraflocculus Purkinje layer,528,CBX
10689,PFLmo,Paraflocculus molecular layer,528,CBX
10690,FLgr,Flocculus granular layer,528,CBX
10691,FLpu,Flocculus Purkinje layer,528,CBX
10692,FLmo,Flocculus molecular layer,528,CBX
10693,PAR1,Parasubiculum layer 1,822,RHP
10694,PAR2,Parasubiculum layer 2,822,RHP
10695,PAR3,Parasubiculum layer 3,822,RHP
10696,POST1,Postsubiculum layer 1,822,RHP
10697,POST2,Postsubiculum layer 2,822,RHP
10698,POST3,Postsubiculum layer 3,822,RHP
10699,PRE1,Presubiculum layer 1,822,RHP
10700,PRE2,Presubiculum layer 2,822,RHP
10701,PRE3,Presubiculum layer 3,822,RHP
10702,DG-sgz,Dentate gyrus subgranular zone,1080,HIP
10703,DG-mo,Dentate gyrus molecular layer,1080,HIP
10704,DG-po,Dentate gyrus polymorph layer,1080,HIP
10705,LINGgr,Lingula (I) granular layer,528,CBX
10706,LINGpu,Lingula (I) Purkinje layer,528,CBX
10707,LINGmo,Lingula (I) molecular layer,528,CBX
10708,CENT2gr,Lobule II granular layer,528,CBX
10709,CENT2pu,Lobule II Purkinje layer,528,CBX
10710,CENT2mo,Lobule II molecular layer,528,CBX
10711,CENT3gr,Lobule III granular layer,528,CBX
10712,CENT3pu,Lobule III Purkinje layer,528,CBX
10713,CENT3mo,Lobule III molecular layer,528,CBX
10714,CUL4gr,Lobule IV granular layer,528,CBX
10715,CUL4pu,Lobule IV Purkinje layer,528,CBX
10716,CUL4mo,Lobule IV molecular layer,528,CBX
10717,CUL5gr,Lobule V granular layer,528,CBX
10718,CUL5pu,Lobule V Purkinje layer,528,CBX
10719,CUL5mo,Lobule V molecular layer,528,CBX
10720,CUL4 5gr,Lobules IV-V granular layer,528,CBX
10721,CUL4 5pu,Lobules IV-V Purkinje layer,528,CBX
10722,CUL4 5mo,Lobules IV-V molecular layer,528,CBX
10723,DECgr,Declive (VI) granular layer,528,CBX
10724,DECpu,Declive (VI) Purkinje layer,528,CBX
10725,DECmo,Declive (VI) molecular layer,528,CBX
10726,FOTUgr,Folium-tuber vermis (VII) granular layer,528,CBX
10727,FOTUpu,Folium-tuber vermis (VII) Purkinje layer,528,CBX
10728,FOTUmo,Folium-tuber vermis (VII) molecular layer,528,CBX
10729,PYRgr,Pyramus (VIII) granular layer,528,CBX
10730,PYRpu,Pyramus (VIII) Purkinje layer,528,CBX
10731,PYRmo,Pyramus (VIII) molecular layer,528,CBX
10732,UVUgr,Uvula (IX) granular layer,528,CBX
10733,UVUpu,Uvula (IX) Purkinje layer,528,CBX
10734,UVUmo,Uvula (IX) molecular layer,528,CBX
10735,NODgr,Nodulus (X) granular layer,528,CBX
10736,NODpu,Nodulus (X) Purkinje layer,528,CBX
10737,NODmo,Nodulus (X) molecular layer,528,CBX
12993,SS1,Somatosensory areas layer 1,315,Isocortex
12994,SS2/3,Somatosensory areas layer 2/3,315,Isocortex
12995,SS4,Somatosensory areas layer 4,315,Isocortex
12996,SS5,Somatosensory areas layer 5,315,Isocortex
12997,SS6a,Somatosensory areas layer 6a,315,Isocortex
12998,SS6b,Somatosensory areas layer 6b,315,Isocortex
182305689,SSp-un,Primary somatosensory area unassigned,315,Isocortex
182305693,SSp-un1,Primary somatosensory area unassigned layer 1,315,Isocortex
182305697,SSp-un2/3,Primary somatosensory area unassigned layer 2/3,315,Isocortex
182305701,SSp-un4,Primary somatosensory area unassigned layer 4,315,Isocortex
182305705,SSp-un5,Primary somatosensory area unassigned layer 5,315,Isocortex
182305709,SSp-un6a,Primary somatosensory area unassigned layer 6a,315,Isocortex
182305713,SSp-un6b,Primary somatosensory area unassigned layer 6b,315,Isocortex
312782546,VISa,Anterior area,315,Isocortex
312782550,VISa1,Anterior area layer 1,315,Isocortex
312782554,VISa2/3,Anterior area layer 2/3,315,Isocortex
312782558,VISa4,Anterior area layer 4,315,Isocortex
312782562,VISa5,Anterior area layer 5,315,Isocortex
312782566,VISa6a,Anterior area layer 6a,315,Isocortex
312782570,VISa6b,Anterior area layer 6b,315,Isocortex
312782574,VISli,Laterointermediate area,315,Isocortex
312782578,VISli1,Laterointermediate area layer 1,315,Isocortex
312782582,VISli2/3,Laterointermediate area layer 2/3,315,Isocortex
312782586,VISli4,Laterointermediate area layer 4,315,Isocortex
312782590,VISli5,Laterointermediate area layer 5,315,Isocortex
312782594,VISli6a,Laterointermediate area layer 6a,315,Isocortex
312782598,VISli6b,Laterointermediate area layer 6b,315,Isocortex
312782604,VISrl1,Rostrolateral area layer 1,315,Isocortex
312782608,VISrl2/3,Rostrolateral area layer 2/3,315,Isocortex
312782612,VISrl4,Rostrolateral area layer 4,315,Isocortex
312782616,VISrl5,Rostrolateral area layer 5,315,Isocortex
312782620,VISrl6a,Rostrolateral area layer 6a,315,Isocortex
312782624,VISrl6b,Rostrolateral area layer 6b,315,Isocortex
312782628,VISpor,Postrhinal area,315,Isocortex
312782632,VISpor1,Postrhinal area layer 1,315,Isocortex
312782636,VISpor2/3,Postrhinal area layer 2/3,315,Isocortex
312782640,VISpor4,Postrhinal area layer 4,315,Isocortex
312782644,VISpor5,Postrhinal area layer 5,315,Isocortex
